Cargo,Salario,Experiencia_previa,Nivel_experiencia,Ubicacion_empresa,Cargos_generalizados
Analyst,44570,0.0,EN,,Analyst
Associate,89207,7.0,MI,,Other
Analyst,40955,0.0,EN,,Analyst
Analyst,45550,0.0,EN,,Analyst
Analyst,43161,3.0,EN,,Analyst
Analyst,48736,0.0,EN,,Analyst
Analyst,40339,0.0,EN,,Analyst
Analyst,40058,2.0,EN,,Analyst
Senior Analyst,63478,1.0,EN,,Analyst
Analyst,43110,0.0,EN,,Analyst
Analyst,41590,1.0,EN,,Analyst
Senior Manager,160613,9.0,MI,,Other
Analyst,44828,1.0,EN,,Analyst
Analyst,45830,0.0,EN,,Analyst
Analyst,43457,1.0,EN,,Analyst
Analyst,44812,0.0,EN,,Analyst
Analyst,47636,2.0,EN,,Analyst
Analyst,48651,1.0,EN,,Analyst
Analyst,40411,0.0,EN,,Analyst
Analyst,44665,0.0,EN,,Analyst
Analyst,46941,1.0,EN,,Analyst
Analyst,47734,0.0,EN,,Analyst
Analyst,40541,1.0,EN,,Analyst
Analyst,43920,2.0,EN,,Analyst
Analyst,45832,0.0,EN,,Analyst
Analyst,48102,0.0,EN,,Analyst
Analyst,48662,0.0,EN,,Analyst
Analyst,49685,1.0,EN,,Analyst
Senior Analyst,57488,0.0,EN,,Analyst
Analyst,45410,0.0,EN,,Analyst
Analyst,43030,0.0,EN,,Analyst
Analyst,42388,0.0,EN,,Analyst
Senior Analyst,68295,3.0,EN,,Analyst
Associate,73397,2.0,EN,,Other
Analyst,47008,0.0,EN,,Analyst
Analyst,49898,1.0,EN,,Analyst
Analyst,45389,1.0,EN,,Analyst
Analyst,49326,0.0,EN,,Analyst
Analyst,49901,0.0,EN,,Analyst
Analyst,42529,2.0,EN,,Analyst
Analyst,44448,2.0,EN,,Analyst
Senior Manager,175497,13.0,SE,,Other
Analyst,47739,2.0,EN,,Analyst
Analyst,49046,2.0,EN,,Analyst
Analyst,47961,2.0,EN,,Analyst
Associate,96378,5.0,MI,,Other
Associate,76411,9.0,MI,,Other
Analyst,40264,0.0,EN,,Analyst
Analyst,45364,0.0,EN,,Analyst
Analyst,42013,0.0,EN,,Analyst
Analyst,42362,2.0,EN,,Analyst
Analyst,44620,2.0,EN,,Analyst
Analyst,43285,1.0,EN,,Analyst
Senior Analyst,66338,5.0,MI,,Analyst
Analyst,46436,2.0,EN,,Analyst
Analyst,49705,0.0,EN,,Analyst
Analyst,40095,0.0,EN,,Analyst
Senior Analyst,61647,3.0,EN,,Analyst
Analyst,42811,0.0,EN,,Analyst
Analyst,47365,2.0,EN,,Analyst
Analyst,45721,0.0,EN,,Analyst
Analyst,49976,1.0,EN,,Analyst
